

Asentamiento

Lomas de San Fernando

Juan Diego

Rinconada del Pedregal

Villas del Campo

Domingo Luna

San Borja Residencial

Real de San Fernando

Las Brisas

Loma Bonita

Vista del Valle

José López Portillo

El Veladero (Ejido Nacionalista)

Reforma el Veladero

La Escondida

Durango

Las Tinajitas

Lomas de Mendoza

Nuevo Centro de Población Ejidal el Pípila

Villas del Mar

Nueva España

Huerta

Del Carmen

Maneadero

Bellavista

El Único

Hogares del Puerto

Sexta Sección

Los Pinos

Solidaridad

Las Palmas

Los Olivos

Rancho Cañón Buena Vista (El Zorrillo)

El Paraíso

Las Flores

Vista al Mar

Praderas del Sol

Benito Juárez

Arce (Nacionalista)

San Miguel

Villa del Mar

Arce

Bienestar

Costa Azul

Parcela Número Sesenta y Siete (Las Palmas)

El Salitral

Lomas del Mar

Campo Turístico La Jolla

II Sección Esteban Cantú

El Ramajal

Packard

Parcela Número 140 (Nacionalista)

La Bufadora

Rincón Punta Banda (Rincón de Ballenas)

Coronel Esteban Cantú

Puerto Escondido

Vista Hermosa

Francisco Villa

Uruapan

El Ajusco

El Puerto de Santo Tomás

Santo Tomás

Chula Vista

Santa Juquila

Parcela 231 (El Refugio del Viejo)

Parcela 116 (Nacionalista)

Parcela Número Ciento Diecisiete (Rancho Lucero)

Francisco Zarco (Valle de Guadalupe)

San Antonio Necua (Cañada de los Encinos)

Tierra Santa

Parcela Treinta y Dos

Parcela Setenta y Siete

Tierra Santa

Democracia y Libertad del Porvenir

Ampliación el Porvenir

El Porvenir (Guadalupe)

Artículo Ciento Quince

El Milagro

Ignacio Zaragoza

Emiliano Zapata

Colinas del Sauzal

FONDEPORT

Colinas del Mar

Balcones Cíbolas del Mar

Villas de San Miguel

El Sauzal

Villas Cíbola del Mar

Lomas del Sauzal

Colinas del Mar Residencial

Manchuria

Santa Anita

Baja Mar San Diego

Brisa del Mar

Ley Federal de Reforma Agraria (El Tigre)

Punta Piedra

La Salina

Orfanato Door of Faith Orphanage

Buena Vista

Úrsulo Galván

Campo Turístico La Misión

La Salina del Mar

La Misión

Puerto Salina

Ampliación Mixteca II

Granjas Agrícolas Lucio Blanco

Las Lomas Residencial Campestre

San Marco

Las Ilusiones

Santa Rosa

Villa de Juárez (San Antonio de las Minas)

Los Cipreses

San Antonio de las Minas

Lomas de San Antonio

Cuatro Milpas

Del Valle

Los Pirules

Los Eucaliptos

Real del Castillo Nuevo (Ojos Negros)

Campa

Puerta Trampa

La Huerta

Siena Residencial

Santo Domingo Residencial

Nueva España

Las Brisas

Valle de las Palmas

Centro Recreativo Escorpión

Andarez Residencial

Base Aérea Militar No. 3 El Ciprés

Playa Mona Lisa

Playa Corona

Chapultepec

Aeropuerto

Playas de Chapultepec

Pórticos del Mar

Villa del Real

Villa Residencial del Real

Villa del Real 3ra. Sección

Villa del Real 2da. Sección

Villas del Mar

Villa Residencial del Rey

Valle de Chapultepec

Todos los Santos

Jardines de Chapultepec

Escritores

El Naranjo

Praderas del Ciprés

Vista del Mar

Vista Hermosa

Conjunto Artesanal

Ibarra

Parcela Número Ciento Cinco (Ejido Nacionalista)

Colinas del Pedregal

Brechas el Mirador

Francisco R. Serrano (Valle San Matías)

Comunidad Indígena de Santa Catarina

Leyes de Reforma (El Rodeo)

Pocitos (Valle de la Trinidad)

Lázaro Cárdenas (Valle de la Trinidad)

Héroes de la Independencia (Llano Colorado)

Esperanza (Cañón San Carlos)

San Carlos (Ejido Nacionalista)

Santa Isabel (Cañón San Carlos)

Parcela Número Sesenta y Cuatro (Nacionalista)

Parcela Setenta y Ocho (Nacionalista)

Parcela Treinta y Dos (Ejido Nacionalista)

Aguacaliente (Baja Country Club)

Parcela Setenta y Ocho

Parcela Cincuenta y Cuatro

Sección Primera

Márques de León

Simón Bolívar

Ejido Ruiz Cortines

Las Lomitas

Lomas y Jardines de Valle Verde

Popular Valle Verde 1

Lázaro Cárdenas 1

Lázaro Cárdenas 2

Luis Donaldo Colosio

Margaritas

2 de septiembre

Arco iris

Victoria

Lomitas III

Lomitas IV

Villas del Cedro I

Villas del Cedro II

Villas del Cedro III

San Rafael

Vista Hermosa

Vista al Sol

Puesta de Sol

Del Mar

Ampliación Puesta de Sol

Popular 89

Ampliación Popular 89

Colinas de San Ángel

Nuevo Reforma

Nuevo Reforma II

Residencial Misiones

Montemar

Colinas del Paraíso

Las Torres

Colinas de La Presa

Cumbres de La Presa

Colinas del Magisterio

Nuevo Milenio

Mar de Cortez

Misiones de La Presa 1

Misiones de La Presa 2

Misiones de Altamar

Mar de Ensenada

Lomas de la Presa

Residencial del Sol

Alta Mar

INFONAVIT Nuevo Milenio

Misiones del Paraíso

Salvador Rosas Magallón

Puerto Azul

Los Girasoles

Mediterráneo

Las Fincas

Las Arboledas

Bosque de los Olivos

Granjas Chapingo

Popular Valle Verde 2

Balcones de La Presa

Rogelio Appel Chacón

Ricardo Flores Magón

Villa Residencial del Prado

Residencial del Prado Dos

Los Encinos

Azteca

Bellavista

Benito Juárez

Empleados

Estado de México

Ignacio Allende

Loma Linda

Sexto Ayuntamiento

Salinas de Gortari

Del Sol

La Joyita

Las Peñitas

Las Flores

Lomas del Paraíso

Popular Emiliano Zapata

Alisos Reforma

Camilo Flores

Misión

Carlos Pacheco

FOVISSSTE 1ra. Sección

FOVISSSTE 2da. Sección

FOVISSSTE 3ra. Sección

FOVISSSTE 4ta. Sección

Luis Echeverría Álvarez

México

Misión

Piedras Negras

Reforma

Revolución

Tercer Ayuntamiento

Ulbrich

Bronce

3 de octubre

28 de agosto

Las Rosas

Santo Tomas

Obrera

Pro-hogar

Ampliación Revolución

Ampliación Reforma

Residencial Lomas

Valle Verde

Villafontana

Los Laureles

Magisterial La Presa

Bonifaz Popoff

Aviación

Bustamante

Careaga

Jesús Munguia

Granados

Independencia

Los Maestros

Niños Héroes

Escritores

Mar

17 de abril

Libertad

Emiliano Zapata

Aguajito

Gómez Morín

Ampliación Gómez Morín

El Campanario

Contreras

San Luis

Villas del Roble

Loma Dorada

Lomas del Mar

Granjas el Gallo

Industrial

Jalisco

Los Olivos

Manuel Márquez de León

Terrazas el Gallo

Francisco Villa I

Francisco Villa II

Residencial Los Álamos

San Sebastián

Esperanza

Villa Bonita

17 de mayo

José María Morelos y Pavón

Ampliación Manuel Márquez de León

CICESE

Real de San Marino

Las Palmas

Coronita

Miguel Alemán

Moderna

Pedregal Playitas

Territorio Sur

Las Palmas III

Ampliación Chapultepec

Chapultepec

Ignacio Altamirano

Quintas Papagayo

San Marino

Comercial Chapultepec

El Morro

Universidad Autónoma de Baja California

Kings Coronita

Kings Villas

Villa Cortez

Ampliación Moderna

Bahía

Buenaventura

Hidalgo

Nueva Ensenada

Playa de Ensenada

Vivienda Popular

Primera Sección

Buenaventura 2da. Sección

Ampliación Hidalgo

Los Lagos

Valle Dorado Sección Lagos

Carlos Pacheco 4

Acapulco

California

Costa Azul

Cuauhtémoc

Villa Colonial

Josefa Ortiz de Domínguez

Loma Linda

Playa Hermosa

Valle Dorado

Militar (23 de Noviembre)

Carlos Pacheco 8

Carlos Pacheco

Pacifica

Adolfo Ruiz Cortines

Rincón del Mar

Puerta del Mar II

Puerta del Mar

Punta Banda II

Punta Banda

Playa Todos Santos

Carlos Pacheco (Ayuntamiento)

Costa Bella

Las Misiones

San Vicente

San Jacinto

La Misión

Rodolfo Sánchez Taboada (El Calvario)

Llano Colorado

De García

Puerto San Isidro

Eréndira

Ignacio López Rayón (Los Olivos)

Alfredo V. Bonfil

Benito Juárez

General Leandro Valle

El Morro

Isla de Cedros

Isla de Cedros

Héroes de Chapultepec

La Providencia

Generalísimo Morelos

México (Parcela Número 10)

Trinidad Cardona

Brisas de San Telmo

27 de enero

Bellavista

López Zamora

San Telmo

Licenciado Gustavo Díaz Ordaz

Las Brisas

Abelardo L. Rodríguez

Las Tinajitas

Punta Colnett (Punta Colonet)

Jardines del Mar

Teniente José Azueta
